companies;link;page
google;https://www.glassdoor.com/Reviews/Google-Reviews-E9079.htm;40
facebook;-;
deloitte;https://www.glassdoor.com/Reviews/Deloitte-Reviews-E2763.htm;
pwc;https://www.glassdoor.com/Reviews/PwC-Reviews-E8450.htm;100
meta;https://www.glassdoor.com/Reviews/Meta-Reviews-E40772.htm;600
amazon;https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036.htm;
ey;https://www.glassdoor.com/Reviews/EY-Reviews-E2784.htm;
kpmg;https://www.glassdoor.com/Reviews/KPMG-Reviews-E2867.htm;300
bnp paribas;https://www.glassdoor.com/Reviews/BNP-Paribas-Reviews-E10342.htm;
cape investment;https://www.glassdoor.com/Reviews/Cape-Reviews-E10850.htm;
hec liege;-;
bloomberg;https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm;
jp morgan;https://www.glassdoor.com/Reviews/J-P-Morgan-Reviews-E145.htm;
bank of america;https://www.glassdoor.com/Reviews/Bank-of-America-Reviews-E8874.htm;
bank of new york mellon;-;
nvidia;-;
intel;https://www.glassdoor.com/Reviews/Intel-Corporation-Reviews-E1519.htm;
amd;https://www.glassdoor.com/Reviews/AMD-Reviews-E15.htm;
hp;https://www.glassdoor.com/Reviews/HP-Inc-Reviews-E1093161.htm;
apple;https://www.glassdoor.com/Reviews/Apple-Reviews-E1138.htm;
microsoft;https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm;
netflix;-;
roku;https://www.glassdoor.com/Reviews/Roku-Reviews-E26760.htm;
brico;-;